Steps,Episodes,Time Elapsed
10,10000,01:00:22
10,10000,01:00:22
10,10000,01:00:22
10,10000,01:00:22
10,10000,01:00:23
10,10000,01:00:23
10,10000,01:00:23
10,10000,01:00:23
10,10000,01:00:23
10,10000,01:00:23
10,10000,01:00:24
10,10000,01:00:24
10,10000,01:00:24
10,10000,01:00:24
10,10000,01:17:47
10,10000,01:17:47
10,10000,01:17:47
10,10000,01:17:47
10,10000,01:17:48
10,10000,01:17:48
10,10000,01:17:48
10,10000,01:17:48
10,10000,01:17:48
10,10000,01:17:48
10,10000,01:17:49
10,10000,01:17:49
10,10000,01:17:49
10,10000,01:17:49
10,10000,01:17:50
10,10000,01:17:50
10,10000,01:17:50
10,10000,01:17:50
10,10000,01:17:51
10,10000,01:17:51
10,10000,01:17:51
10,10000,01:17:51
10,10000,01:17:51
10,10000,01:17:51
10,10000,01:17:52
10,10000,01:17:52
10,10000,01:17:52
10,10000,01:17:52
10,10000,01:17:52
10,10000,01:17:53
10,10000,01:17:53
10,10000,01:17:53
10,10000,01:17:53
10,10000,01:17:53
10,10000,01:17:53
10,10000,01:17:54
10,10000,01:17:54
10,10000,01:17:54
10,10000,01:17:54
10,10000,01:17:54
10,10000,01:17:54
10,10000,01:17:54
10,10000,01:17:55
10,10000,01:17:55
10,10000,01:17:55
10,10000,01:17:55
10,10000,01:17:55
10,10000,01:17:55
10,10000,01:17:56
10,10000,01:17:56
10,10000,01:17:56
10,10000,01:17:56
10,10000,01:17:56
10,10000,01:17:56
10,10000,01:17:57
10,10000,01:17:57
10,10000,01:17:57
10,10000,01:17:57
10,10000,01:17:57
10,10000,01:17:57
10,10000,01:17:58
10,10000,01:17:58
10,10000,01:17:58
10,10000,01:17:58
10,10000,01:17:58
10,10000,01:17:58
10,10000,01:17:58
10,10000,01:17:59
10,10000,01:17:59
10,10000,01:17:59
10,10000,01:17:59
10,10000,01:18:00
10,10000,01:18:00
10,10000,01:18:00
10,10000,01:18:00
10,10000,01:18:00
10,10000,01:18:00
10,10000,01:18:01
10,10000,01:18:01
10,10000,01:18:01
10,10000,01:18:01
10,10000,01:18:01
10,10000,01:18:01
10,10000,01:18:01
10,10000,01:18:02
10,10000,01:18:02
10,10000,01:18:02
10,10000,01:18:02
10,10000,01:18:02
10,10000,01:18:03
10,10000,01:18:03
10,10000,01:18:03
10,10000,01:18:03
10,10000,01:18:04
10,10000,01:18:04
10,10000,01:18:04
10,10000,01:18:04
10,10000,01:18:04
10,10000,01:18:05
10,10000,01:18:05
10,10000,01:18:05
10,10000,01:18:05
10,10000,01:18:05
10,10000,01:18:06
10,10000,01:18:06
10,10000,01:18:06
10,10000,01:18:06
10,10000,01:18:07
10,10000,01:18:07
10,10000,01:18:07
10,10000,01:18:07
10,10000,01:18:07
10,10000,01:35:34
10,10000,01:35:34
10,10000,01:35:34
10,10000,01:35:35
10,10000,01:35:35
10,10000,01:35:35
10,10000,01:35:35
10,10000,01:35:35
10,10000,01:35:35
10,10000,01:35:36
10,10000,01:35:36
10,10000,01:35:36
10,10000,01:35:36
10,10000,01:35:37
10,10000,01:35:37
10,10000,01:35:37
10,10000,01:35:37
10,10000,01:35:37
10,10000,01:35:38
10,10000,01:35:38
10,10000,01:35:38
10,10000,01:35:38
10,10000,01:35:39
10,10000,01:35:39
10,10000,01:35:39
10,10000,01:35:39
10,10000,01:35:40
10,10000,01:35:40
10,10000,01:35:40
10,10000,01:35:40
10,10000,01:35:40
10,10000,01:35:41
10,10000,01:35:41
10,10000,01:35:41
10,10000,01:35:41
10,10000,01:35:41
10,10000,01:35:41
10,10000,01:35:41
10,10000,01:35:42
10,10000,01:35:42
10,10000,01:35:42
10,10000,01:35:42
10,10000,01:35:42
10,10000,01:35:42
10,10000,01:35:42
10,10000,01:35:43
10,10000,01:35:43
10,10000,01:35:43
10,10000,01:35:43
10,10000,01:35:44
10,10000,01:35:44
10,10000,01:35:44
10,10000,01:35:44
10,10000,01:35:45
10,10000,01:35:45
10,10000,01:35:45
10,10000,01:35:45
10,10000,01:35:45
10,10000,01:35:45
10,10000,01:35:46
10,10000,01:35:46
10,10000,01:35:46
10,10000,01:35:46
10,10000,01:35:46
10,10000,01:35:47
10,10000,01:35:47
10,10000,01:35:47
10,10000,01:35:47
10,10000,01:35:47
10,10000,01:35:47
10,10000,01:35:48
10,10000,01:35:48
10,10000,01:35:48
10,10000,01:35:48
10,10000,01:35:48
10,10000,01:35:49
10,10000,01:35:49
10,10000,01:35:49
10,10000,01:35:49
10,10000,01:35:49
10,10000,01:35:50
10,10000,01:35:50
10,10000,01:35:50
10,10000,01:35:50
10,10000,01:35:50
10,10000,01:35:51
10,10000,01:35:51
10,10000,01:35:51
10,10000,01:35:51
10,10000,01:35:51
10,10000,01:35:52
10,10000,01:35:52
10,10000,01:35:52
10,10000,01:35:52
10,10000,01:35:52
10,10000,01:35:53
10,10000,01:35:53
10,10000,01:35:53
10,10000,01:35:53
10,10000,01:35:54
10,10000,01:35:54
10,10000,01:35:54
10,10000,01:35:54
10,10000,01:53:09
10,10000,01:53:10
10,10000,01:53:10
10,10000,01:53:10
10,10000,01:53:10
10,10000,01:53:10
10,10000,01:53:11
10,10000,01:53:11
10,10000,01:53:11
10,10000,01:53:11
10,10000,01:53:11
10,10000,01:53:12
10,10000,01:53:12
10,10000,01:53:12
10,10000,01:53:12
10,10000,01:53:12
10,10000,01:53:13
10,10000,01:53:13
10,10000,01:53:13
10,10000,01:53:13
10,10000,01:53:14
